iter	Passed	Remaining
0	107	107261
1	108	54028
2	109	36294
3	110	27431
4	111	22147
5	112	18575
6	112	16010
7	113	14094
8	114	12600
9	115	11420
10	116	10465
11	117	9708
12	119	9035
13	119	8441
14	120	7922
15	121	7466
16	122	7074
17	123	6728
18	124	6415
19	125	6125
20	125	5863
21	126	5626
22	127	5410
23	128	5245
24	130	5071
25	131	4924
26	132	4767
27	133	4617
28	133	4478
29	134	4348
30	135	4226
31	136	4116
32	137	4015
33	137	3913
34	138	3818
35	139	3726
36	139	3638
37	140	3555
38	141	3478
39	142	3409
40	143	3350
41	145	3311
42	146	3253
43	147	3195
44	147	3135
45	148	3079
46	149	3027
47	150	2982
48	151	2941
49	152	2897
50	153	2854
51	154	2810
52	154	2769
53	156	2736
54	157	2700
55	158	2673
56	159	2638
57	160	2603
58	161	2572
59	162	2538
60	162	2508
61	163	2480
62	165	2455
63	165	2427
64	166	2398
65	167	2371
66	168	2343
67	168	2316
68	169	2292
69	170	2269
70	171	2247
71	172	2224
72	173	2201
73	174	2178
74	174	2155
75	175	2132
76	176	2110
77	176	2089
78	177	2068
79	178	2053
80	179	2034
81	180	2017
82	180	1994
83	181	1976
84	181	1957
85	182	1939
86	183	1922
87	184	1907
88	184	1891
89	185	1879
90	187	1868
91	187	1853
92	188	1838
93	189	1824
94	189	1809
95	190	1795
96	191	1781
97	192	1768
98	192	1755
99	193	1742
100	194	1730
101	195	1717
102	195	1704
103	196	1691
104	197	1679
105	198	1670
106	198	1660
107	200	1653
108	201	1646
109	202	1637
110	203	1627
111	203	1617
112	204	1606
113	205	1596
114	206	1586
115	207	1579
116	208	1569
117	208	1560
118	209	1550
119	210	1542
120	211	1534
121	212	1525
122	212	1518
123	213	1511
124	214	1504
125	216	1498
126	216	1489
127	217	1480
128	218	1472
129	218	1464
130	219	1456
131	220	1449
132	221	1443
133	222	1439
134	223	1431
135	224	1423
136	224	1415
137	225	1408
138	226	1401
139	226	1393
140	227	1387
141	228	1379
142	229	1372
143	229	1365
144	230	1358
145	231	1351
146	232	1347
147	232	1340
148	233	1335
149	234	1329
150	235	1324
151	236	1319
152	237	1313
153	237	1307
154	238	1300
155	239	1293
156	239	1287
157	240	1280
158	240	1274
159	241	1268
160	242	1261
161	242	1256
162	243	1252
163	244	1247
164	245	1242
165	246	1237
166	246	1231
167	247	1226
168	248	1221
169	249	1216
170	250	1212
171	250	1208
172	251	1203
173	252	1199
174	253	1194
175	253	1188
176	254	1183
177	255	1178
178	255	1173
179	256	1169
180	257	1166
181	258	1162
182	259	1157
183	259	1152
184	260	1148
185	261	1144
186	262	1141
187	263	1136
188	264	1133
189	265	1130
190	265	1126
191	266	1122
192	267	1118
193	268	1113
194	268	1109
195	269	1105
196	270	1101
197	271	1099
198	272	1096
199	273	1092
200	274	1089
201	274	1085
202	275	1081
203	276	1077
204	276	1073
205	277	1069
206	278	1066
207	279	1064
208	280	1061
209	281	1058
210	282	1054
211	282	1050
212	283	1047
213	284	1043
214	284	1040
215	285	1037
216	286	1034
217	287	1030
218	287	1026
219	288	1023
220	289	1019
221	290	1016
222	290	1013
223	291	1010
224	292	1006
225	293	1003
226	293	1001
227	294	997
228	295	994
229	295	990
230	296	987
231	297	983
232	297	980
233	298	976
234	299	974
235	300	972
236	301	971
237	302	970
238	303	967
239	304	964
240	305	961
241	305	957
242	306	954
243	307	951
244	308	949
245	309	948
246	310	946
247	311	943
248	311	940
249	312	938
250	313	935
251	314	932
252	315	930
253	316	928
254	317	926
255	317	923
256	318	921
257	319	918
258	320	915
259	320	913
260	321	910
261	322	908
262	323	906
263	324	905
264	325	902
265	326	900
266	326	897
267	327	894
268	328	892
269	329	889
270	330	888
271	331	886
272	332	885
273	333	883
274	334	881
275	335	878
276	335	876
277	336	874
278	337	872
279	338	870
280	339	868
281	340	866
282	340	863
283	341	860
284	341	857
285	342	855
286	343	852
287	344	851
288	345	849
289	345	846
290	346	844
291	347	841
292	347	838
293	348	836
294	348	833
295	349	831
296	350	828
297	350	826
298	351	824
299	352	822
300	353	820
301	353	817
302	354	815
303	355	812
304	355	810
305	356	808
306	356	805
307	357	803
308	358	801
309	359	800
310	360	797
311	360	795
312	361	793
313	362	791
314	362	788
315	363	786
316	364	784
317	364	782
318	365	780
319	366	778
320	367	776
321	368	774
322	368	772
323	369	770
324	369	768
325	370	766
326	371	763
327	371	761
328	372	759
329	373	758
330	374	756
331	374	754
332	375	752
333	376	750
334	376	747
335	377	745
336	377	743
337	378	741
338	379	739
339	379	737
340	381	736
341	381	734
342	382	732
343	383	730
344	383	728
345	384	726
346	384	724
347	385	722
348	386	720
349	386	718
350	387	716
351	388	714
352	389	713
353	389	711
354	390	709
355	390	707
356	391	705
357	392	703
358	392	701
359	393	699
360	393	697
361	394	695
362	395	693
363	396	692
364	396	690
365	397	688
366	398	686
367	398	684
368	399	682
369	399	680
370	400	679
371	401	677
372	401	675
373	402	674
374	403	672
375	404	670
376	404	668
377	405	667
378	406	665
379	406	663
380	407	661
381	407	659
382	408	657
